Site,Burnt,Habitat,date2,MP
CH,N,Bog,206,0
CH,N,Bog,206,0
CH,N,Bog,242,0
CH,N,Bog,242,1
CH,N,Bog,206,2
CH,N,Bog,242,0
CH,N,Bog,206,0
CH,N,WH,242,4
CH,Y,Bog,207,0
CH,Y,Bog,243,0
CH,N,DH,243,6
CH,Y,Bog,242,8
CH,Y,WH,207,0
CH,Y,Bog,207,0
CH,Y,DH,207,0
CH,Y,Bog,243,5
CH,Y,DH,243,1
CH,N,DH,207,0
EM,N,Bog,219,0
EM,Y,WH,174,3
EM,N,WH,174,0
EM,Y,DH,174,0
EM,N,DH,279,0
EM,N,DH,180,1
EM,Y,WH,181,3
EM,Y,WH,181,1
EM,Y,WH,181,3
EM,N,WH,215,0
EM,Y,DH,175,3
EM,Y,DH,175,1
EM,Y,WH,214,0
EM,Y,DH,217,0
EM,Y,DH,217,0
EM,Y,DH,217,0
EM,N,WH,214,0
EM,Y,DH,230,0
EM,Y,DH,230,0
EM,N,WH,185,1
EM,N,WH,196,2
EM,Y,WH,196,0
EM,N,DH,230,0
EM,N,DH,230,0
EM,N,WH,232,0
EM,N,WH,232,1
EM,N,DH,232,0
EM,N,DH,232,0
EM,Y,WH,229,0
EM,Y,WH,229,0
EM,N,WH,219,1
EM,N,DH,180,1
EM,Y,WH,180,0
EM,Y,DH,229,0
GR,Y,Bog,200,1
GR,Y,Bog,200,2
GR,Y,Bog,200,0
GR,Y,Bog,200,0
GR,Y,WH,200,2
GR,Y,Bog,200,4
GR,Y,Bog,201,1
GR,Y,Bog,201,0
GR,N,Bog,201,0
GR,Y,Bog,201,0
GR,N,Bog,201,0
MN,Y,DH,254,1
MN,Y,Bog,254,0
MN,Y,Bog,254,0
MN,Y,Bog,250,0
MN,Y,Bog,257,0
MN,Y,Bog,269,0
MN,N,Bog,269,0
MN,N,Bog,258,2
MN,N,Bog,255,0
MN,Y,Bog,257,0
MN,N,Bog,248,3
MN,N,Bog,257,1
MN,N,Bog,248,1
MN,N,Bog,285,0
MN,N,Bog,255,0
MN,N,Bog,255,8
MN,Y,Bog,257,1
MN,N,DH,250,3
MN,Y,Bog,250,4
MN,Y,Bog,250,2
SA,N,Bog,191,0
SA,N,Bog,187,0
SA,N,Bog,221,0
SA,Y,Bog,196,1
SA,N,Bog,221,1
SA,Y,Bog,196,0
SA,Y,Bog,197,0
SA,Y,Bog,197,6
SA,Y,Bog,221,0
SA,Y,Bog,221,0
SA,Y,Bog,191,4
SA,N,Bog,187,7
SA,N,Bog,187,2
SA,Y,Bog,191,1
SA,Y,Bog,197,5
SA,Y,Bog,197,0
SA,N,Bog,187,5
SA,N,Bog,187,2
SA,Y,Bog,197,0
SH,N,Bog,276,0
SH,Y,Bog,228,1
SH,Y,Bog,228,0
SH,Y,Bog,240,0
SH,Y,Bog,228,0
SH,N,Bog,276,4
SH,N,Bog,208,4
SH,N,Bog,212,7
SH,Y,Bog,270,2
SH,Y,Bog,270,0
SH,Y,Bog,225,2
SH,N,Bog,276,0
SH,N,Bog,208,9
SH,N,Bog,278,0
SH,N,Bog,212,1
SH,N,Bog,208,0
SH,N,Bog,278,1
SH,Y,Bog,275,0
SH,Y,Bog,240,0
SH,Y,Bog,225,0
